時間,設備,值
24-10-19 10:32:31,SA-12/LED_LEVEL,21
24-10-19 10:32:35,SA-12/LED_LEVEL,4
24-10-19 10:32:36,SA-12/LED_LEVEL,3
24-10-19 10:40:46,SA-12/LED_LEVEL,4
24-10-19 10:40:47,SA-12/LED_LEVEL,3
24-10-19 10:45:57,SA-12/LED_LEVEL,4
24-10-19 10:45:58,SA-12/LED_LEVEL,3
24-10-19 10:47:39,SA-12/LED_LEVEL,6
24-10-19 10:47:40,SA-12/LED_LEVEL,7
24-10-19 10:47:49,SA-12/LED_LEVEL,6
24-10-19 10:47:50,SA-12/LED_LEVEL,7
24-10-19 10:47:54,SA-12/LED_LEVEL,6
24-10-19 10:47:55,SA-12/LED_LEVEL,7
24-10-19 10:47:56,SA-12/LED_LEVEL,6
24-10-19 10:47:58,SA-12/LED_LEVEL,7
24-10-19 10:47:59,SA-12/LED_LEVEL,6
24-10-19 10:48:06,SA-12/LED_LEVEL,7
24-10-19 10:48:09,SA-12/LED_LEVEL,6
24-10-19 10:48:10,SA-12/LED_LEVEL,7
24-10-19 10:48:11,SA-12/LED_LEVEL,6
24-10-19 10:48:12,SA-12/LED_LEVEL,7
24-10-19 10:48:13,SA-12/LED_LEVEL,6
24-10-19 10:48:14,SA-12/LED_LEVEL,7
24-10-19 10:48:15,SA-12/LED_LEVEL,6
24-10-19 10:48:16,SA-12/LED_LEVEL,7
24-10-19 10:48:18,SA-12/LED_LEVEL,6
24-10-19 10:48:19,SA-12/LED_LEVEL,7
24-10-19 10:48:20,SA-12/LED_LEVEL,6
24-10-19 10:48:22,SA-12/LED_LEVEL,7
24-10-19 10:48:23,SA-12/LED_LEVEL,6
24-10-19 10:48:37,SA-12/LED_LEVEL,7
24-10-19 10:48:38,SA-12/LED_LEVEL,6
24-10-19 10:48:45,SA-12/LED_LEVEL,7
24-10-19 10:48:46,SA-12/LED_LEVEL,6
24-10-19 10:48:47,SA-12/LED_LEVEL,7
24-10-19 10:48:48,SA-12/LED_LEVEL,6
24-10-19 10:48:50,SA-12/LED_LEVEL,7
24-10-19 10:48:51,SA-12/LED_LEVEL,6
24-10-19 10:48:53,SA-12/LED_LEVEL,7
24-10-19 10:53:11,SA-12/LED_LEVEL,8
24-10-19 10:53:12,SA-12/LED_LEVEL,7
24-10-19 10:53:23,SA-12/LED_LEVEL,8
24-10-19 10:53:24,SA-12/LED_LEVEL,7
24-10-19 10:53:25,SA-12/LED_LEVEL,8
24-10-19 10:53:31,SA-12/LED_LEVEL,7
24-10-19 10:53:32,SA-12/LED_LEVEL,8
24-10-19 10:53:36,SA-12/LED_LEVEL,7
24-10-19 10:53:37,SA-12/LED_LEVEL,8
24-10-19 10:53:39,SA-12/LED_LEVEL,7
24-10-19 10:53:41,SA-12/LED_LEVEL,8
24-10-19 10:53:43,SA-12/LED_LEVEL,7
