時間,設備,值
2024-10-19 14:22:55,SA-01/TEMPERATURE,28.45
2024-10-19 14:22:59,SA-01/TEMPERATURE,27.98
2024-10-19 14:23:07,SA-01/TEMPERATURE,28.45
2024-10-19 14:23:09,SA-01/TEMPERATURE,27.98
2024-10-19 14:23:11,SA-01/TEMPERATURE,28.45
2024-10-19 14:23:27,SA-01/TEMPERATURE,27.98
2024-10-19 14:23:29,SA-01/TEMPERATURE,28.45
2024-10-19 14:23:31,SA-01/TEMPERATURE,27.98
2024-10-19 14:23:33,SA-01/TEMPERATURE,28.45
2024-10-19 14:23:37,SA-01/TEMPERATURE,27.98
2024-10-19 14:23:45,SA-01/TEMPERATURE,28.45
2024-10-19 14:23:47,SA-01/TEMPERATURE,27.98
2024-10-19 14:23:49,SA-01/TEMPERATURE,28.45
2024-10-19 14:23:53,SA-01/TEMPERATURE,27.98
2024-10-19 14:23:59,SA-01/TEMPERATURE,28.45
2024-10-19 14:24:01,SA-01/TEMPERATURE,27.98
2024-10-19 14:24:05,SA-01/TEMPERATURE,28.45
2024-10-19 14:24:07,SA-01/TEMPERATURE,27.98
2024-10-19 14:24:17,SA-01/TEMPERATURE,28.45
2024-10-19 14:24:19,SA-01/TEMPERATURE,27.98
2024-10-19 14:24:25,SA-01/TEMPERATURE,28.45
2024-10-19 14:24:29,SA-12/TEMPERATURE,28.45
2024-10-19 14:24:31,SA-12/TEMPERATURE,28.92
2024-10-19 14:24:51,SA-12/TEMPERATURE,28.45
2024-10-19 14:24:53,SA-12/TEMPERATURE,28.92
2024-10-19 14:24:58,SA-12/TEMPERATURE,28.92
2024-10-19 14:24:58,SA-12/LED_LV,8
2024-10-19 14:25:39,SA-12/TEMPERATURE,28.45
2024-10-19 14:25:41,SA-12/TEMPERATURE,28.92
2024-10-19 14:26:06,SA-12/LED_LV,8
2024-10-19 14:26:10,SA-12/LED_LV,2
2024-10-19 14:26:10,SA-12/LED_LV,3
2024-10-19 14:26:12,SA-12/LED_LV,9
2024-10-19 14:26:12,SA-12/LED_LV,18
2024-10-19 14:26:14,SA-12/LED_LV,23
2024-10-19 14:28:19,SA-12/LED_LV,23
2024-10-19 14:29:12,SA-12/LED_LV,23
2024-10-19 14:29:51,SA-12/LED_LV,23
2024-10-19 14:30:38,SA-12/LED_LV,23
2024-10-19 14:30:50,SA-12/LED_LV,27
2024-10-19 14:30:50,SA-12/LED_LV,31
2024-10-19 14:31:44,SA-12/LED_LV,31
2024-10-19 14:54:45,SA-12/LIGHT_SWITCH,1
2024-10-19 14:54:45,SA-12/LED_LV,39
2024-10-19 14:54:51,SA-12/LIGHT_SWITCH,0
2024-10-19 14:54:51,SA-12/LED_LV,40
2024-10-19 14:54:52,SA-12/LED_LV,39
2024-10-19 14:54:56,SA-12/LED_LV,40
2024-10-19 14:54:57,SA-12/LIGHT_SWITCH,1
2024-10-19 14:54:57,SA-12/LED_LV,38
2024-10-19 14:55:26,SA-12/LED_LV,38
2024-10-19 14:55:27,SA-12/TEMPERATURE,28.92
2024-10-19 14:55:27,SA-12/LIGHT_SWITCH,1
2024-10-19 14:55:49,SA-12/LED_LV,40
2024-10-19 14:55:50,SA-12/LED_LV,39
2024-10-19 14:55:51,SA-12/LIGHT_SWITCH,0
2024-10-19 14:55:53,SA-12/LIGHT_SWITCH,1
2024-10-19 14:56:35,SA-12/LIGHT_SWITCH,0
2024-10-19 14:56:37,SA-12/LIGHT_SWITCH,1
2024-10-19 14:56:46,SA-12/LED_LV,38
2024-10-19 14:56:47,SA-12/LED_LV,39
2024-10-19 14:57:05,SA-12/TEMPERATURE,28.92
2024-10-19 14:57:05,SA-12/LIGHT_SWITCH,1
2024-10-19 14:57:05,SA-12/LED_LV,39
2024-10-19 14:57:29,SA-12/LIGHT_SWITCH,0
2024-10-19 14:57:29,SA-12/LED_LV,40
2024-10-19 14:57:30,SA-12/LED_LV,37
2024-10-19 14:57:31,SA-12/LIGHT_SWITCH,1
2024-10-19 14:57:32,SA-12/LED_LV,38
2024-10-19 14:57:57,SA-12/TEMPERATURE,29.39
2024-10-19 14:57:59,SA-12/TEMPERATURE,28.92
2024-10-19 14:58:35,SA-12/TEMPERATURE,29.39
2024-10-19 14:58:37,SA-12/TEMPERATURE,28.92
2024-10-19 14:58:43,SA-12/TEMPERATURE,29.39
2024-10-19 14:58:45,SA-12/TEMPERATURE,28.92
